id,num,first,last,pos,height,weight,year,hometown,prevteam,gp,saveper,gaa,win,loss,tie,team
2,31,Mathias,Lange,G,5-11,185,Sr.,"Klagenfurt, Austria ",New York Apple Core,20,0.898,3.28,5,13,2,rpi
3,30,Allen,York,G,6-4,180,Fr.,"Wetaskiwin, AB ",Camrose Kodiaks,7,0.879,4.00,1,5,0,rpi
4,40,Charles,Long,G,6-0,175,Jr. ,"Cleveland Heights, OH", Brockville Braves (CJHL),16,0.903,2.59,5,5,4,colgate
5,1,Alex,Evin,G,6-1,170,Fr. ,"Castlegar, BC", Penticton Valley 1st Vees (BCHL),8,0.892,3.29,1,4,1,colgate
6,33,Bryan,Bessette,G,6-1,195,Fr. ,"Melrose, NY", Hawkesbury Hawks (CJHL),1,0.857,5.94,0,0,0,colgate
7,30,Ashley,Mayr,G,5-8,0,Sr.,"Burnaby, BC ", BC Breakers,2,0.871,2.02,1,1,0,rpiw
8,33,Sonja,van der Bliek,G,5-8,0,So.,"Toronto, ON ", Toronto Jr. Aeros,21,0.917,1.95,10,8,3,rpiw
9,1,Danielle,Murmes,G,5-10,0,So.,"Wellesley, MA",Charles River U-19,1,0.800,11.25,0,0,0,clarksonw
10,35,Lauren,Dahm,G,5-6,0,So.,"Baldwinsville, NY",Syracuse Under-19,17,0.938,1.42,9,5,3,clarksonw
11,79,Eve,Grandmont-Berube,G,5-8,0,So.,"Drummondville, QUE",St. Laurent College,7,0.891,2.69,3,2,1,clarksonw
12,35,Christina,Kessler,G, 5-4,0, Sr.," Torrance, Calif. ",,15,0.916,1.86,7,5,2,harvardw
13,30,Brittany,Martin,G, 5-6,0, So.," Cary, N.C. ",,5,0.906,2.40,2,2,1,harvardw
14,33,Kylie,Stephens,G, 5-6,0, Jr.," Oakville, Ont. ",,1,1,0.00,0,0,0,harvardw
15,31,Corey,Milan,G,5-10,155,So.,"Great Barrington, MA ", Penticton Vees (BCHL),26,0.903,2.75,12,12,2,union
16,35,Rich,Sillery,G,6-3,195,Jr.,"Hyattsville, MD ", Gilmour Academy,2,0.812,4.18,0,0,0,union
17,30,Dan,Rosen,G,5-11,175,JR,"Syosset, NY",Green Bay Gamblers,15,0.9,3.93,1,11,3,brown
18,33,Mike,Clemente,G,6-2,200,FR,"Great Falls, VA",U.S. NTDP,8,0.912,3.35,1,4,1,brown
19,29,Kain,Tisi,G,5-11,180,Jr.,"Mississauga, ONT",St. Michael's Buzzers (OPJHL),6,0.885,2.82,2,2,0,stl
20,30,Alex,Petizian,G,5-10,175,Jr.,"Kirkland, QUE",Northwood,25,0.925,2.23,13,8,4,stl
21,31,Joe,Spadaccini,G,5-9,175,Fr.,"Canton, NY",National Sports Academy,0,1,0,0,0,0,stl
22,1,Robby,Moss,G,6-1,185,Fr.,"Chesterfield, MO",North Iowa (NAHL),4,0.859,3.86,2,1,0,stl
